Name,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
"Louis Vuitton - Apogee",ბრენდი,"Louis Vuitton",1,1,მოცულობა,100ML,1,1
"Louis Vuitton - Attrape-Reves",ბრენდი,"Louis Vuitton",1,1,მოცულობა,100ML,1,1
"Memo - Italian Leather",ბრენდი,Memo,1,1,მოცულობა,100ML,1,1
"Memo - Russian Leather",ბრენდი,Memo,1,1,მოცულობა,100ML,1,1
"Marc Antoine Barrois - Tilia",ბრენდი,"Marc Antoine Barrois",1,1,მოცულობა,100ML,1,1
"Yves Saint Laurent - Libre Intense",ბრენდი,"Yves Saint Laurent",1,1,მოცულობა,100ML,1,1
"Maison Margiela - Beach Walk",ბრენდი,"Maison Margiela",1,1,მოცულობა,100ML,1,1
"Maison Margiela - When the Rain Stops",ბრენდი,"Maison Margiela",1,1,მოცულობა,100ML,1,1
"Maison Margiela - Coffee Break",ბრენდი,"Maison Margiela",1,1,მოცულობა,100ML,1,1
"Maison Margiela - Under The Lemon Trees",ბრენდი,"Maison Margiela",1,1,მოცულობა,100ML,1,1
"Maison Margiela - Jazz Club",ბრენდი,"Maison Margiela",1,1,მოცულობა,100ML,1,1
"Creed - Queen Of Silk",ბრენდი,Creed,1,1,მოცულობა,75ML,1,1
